Timestamp,Email Address,Full Name,Stellar Wallet Address,Rating (1-5),User Feedback Comments
"7/17/2026 19:13:46","prisha25052021@gmail.com","Prisha Dey","GBHPK2DOERC3I4A3HEJEXSA3SCYD4N7RX74JFXOKJT74S6ICQ4TGX4YH",3,"Wallet connect modal me address copy karne ka button nahi tha, mobile me Freighter connect ke baad full address copy karne me problem ho rahi thi."
"7/17/2026 19:15:03","majumdargour6@gmail.com","Gour Majumdar","GCXM5UNIHALRP2HOCWFSGBLATSFFQLB5YZWCLIICKKELR3E7OCHZSLMF",3,"Auction bidding section me ye samajh nahi aa raha tha ki mera expected payout discount ke baad kitna aayega. Ek real-time discount/payout calculation preview chahiye."
"7/17/2026 19:15:56","deylipika367@gmail.com","Lipika Dey","GBQLFIT7UWCURWEDBR5JPCQPFIFYJ23AKIX24P6MOAAZ3AIDTSNE24FY",4,"Groups page me active groups and completed groups mix ho rahe the, filter by status (All, Forming, Active, Completed) or search by currency nahi tha."
"7/17/2026 19:22:49","elizabeth020505@gmail.com","Susmita Sain","GDOCVFT52PZ6KZDRQRD4XJMOK46GDTWOY7EBE26P7K5VSCAWDECWKUII",3,"Collateral lock karne se pehle kitna refund milega cycle complete hone par wo clearly visually explain nahi hota."
"7/17/2026 20:48:43","pabondey783@gmail.com","Pabon Dey","GCHKRVXHM3EECBD2KXZQYIMPIU4VTZHYYDJZKGAZO2VXPMHLJA275FOP",3,"Transaction status popup me Explorer link par click karne se same tab me open ho raha tha, new tab me open hona chahiye taaki app state na chali jaye."
"7/18/2026 10:12:15","rahul.sharma882@gmail.com","Rahul Sharma","GDW6YTO7NCMPQ52NSM7IO3LD4R4V6WGHLVXHUO5DJOHTGKTE4KAOT6WH",3,"Create Group form me contribution amount galat daalne par koi minimum validation error message nahi show hota tha."
"7/18/2026 11:05:32","ananya.banerjee24@gmail.com","Ananya Banerjee","GA33CN4OP6DNUX2XJG2DCE5Y3MLW5QDI5VCN4H6AONY6UOZY746XGD65",4,"Dashboard me meri active ROSCA cycles ka quick summary and total savings pot value nahi dikh raha tha."
"7/18/2026 11:42:19","mukherjee.subhashis19@gmail.com","Subhashis Mukherjee","GB3NSAI6DU43ACN627X5RR4UO5SGP3I7DGGGKDEDBQZ52VYM4INW7N27",4,"Transaction fees and Soroban storage rent explanation user guide me missing tha, kitna fee katega pehle pata nahi chalta."
"7/18/2026 12:15:08","puja.chakraborty92@gmail.com","Puja Chakraborty","GBEL4AIXHX3HVTAIMIIF4NL7EEWWQ26LTI4SJXUKKRAFYU77LTZGNWCG",3,"Group detail page me timer countdown end hone ke baad automatically refresh nahi hota tha jab period change ho."
"7/18/2026 13:04:55","amitav.sen108@gmail.com","Amitav Sen","GDSQBZEQMSKP25VKN4Q7G74346MB24BDJEO3UEPWJOOJIWNS3HEEJ6BZ",3,"Header me network indicator (Mainnet vs Testnet) clearly visible nahi tha, confusion ho raha tha."
"7/18/2026 14:22:41","debasmita.roy77@gmail.com","Debasmita Roy","GBOD3TRHDXKBFC2V3JBJ2ANMAGWUZCWJ2Y72NGL2UCFT5NDQCERRP7HL",4,"Profile page me transaction history export to CSV ka koi option nahi tha tax/record keeping ke liye."
"7/18/2026 15:10:18","sandip.bhatta91@gmail.com","Sandip Bhattacharya","GDKFMZAH2VIRNLW5WUYLBTOJBQGO7ZOHDWMSHUEDY27QEOYXAJZJIFYP",3,"FAQ / Help modal quick access nahi tha jab group me bid ya lock collateral karte time doubt aaye."
"7/18/2026 16:05:30","sneha.ghosh334@gmail.com","Sneha Ghosh","GCOG233UUT4DXCPQWKHPOWZH5XFW5ZVXM34TWJQ6DXYQJTPEQSRKZK5T",3,"Albedo wallet sign in ke time popup block hone par retry button aur clear instruction nahi tha."
"7/18/2026 16:48:12","sourav.ganguly82@gmail.com","Sourav Ganguly","GAD75JYQ7BNPCAQ75E3TAMVZQJJHXTUC3CDCAXV6KTEZA4RLDIZCLNIJ",5,"Amazing decentralized chit fund platform! The transparent bidding auction worked seamlessly with Freighter."
"7/18/2026 17:15:20","rohit.verma1994@gmail.com","Rohit Verma","GB6RUFVZAKZ7LUEMLZD43YAK3B6MNPJBF7SP52NYDSXDDWZO56HKJOQJ",5,"Very smooth UI, fast transactions on Soroban RPC. Loved the automated default coverage."
"7/18/2026 17:50:44","priya.das_kol@gmail.com","Priya Das","GCYWKXKHC333DJAPUKATYRCB7LHPQLQLWCK3YGM77CDMUUYMQANM3DDI",5,"The idea of bringing traditional Indian committees / chit funds on-chain is super innovative!"
"7/18/2026 18:20:11","arpan.ghosh99@gmail.com","Arpan Ghosh","GAWCWJ3R37A56FSQ5HDG7WGOG7VZY3SRYPHCEJA2GVMN2R6HOQFSMMDR",5,"Tested on testnet with friends, pot distribution and collateral locks were instant and accurate."
"7/18/2026 18:55:36","suman.mondal55@gmail.com","Suman Mondal","GDCBAPUJ4235VJZ3LGR7HJVB64ELWPOFBT5FGMILAV5TI27UCP3UYFT4",5,"Great experience connecting with Albedo wallet. The step-by-step wizard is very clear."
"7/18/2026 19:30:48","tanmay.dutta84@gmail.com","Tanmay Dutta","GBRLGPDZV4KPRZI6NOTQ7USZLUXM3NFJBMENPTSQKZ2UHX6G3XEN5ARI",5,"Clean dark mode, transparent discount split formula, and real-time status updates."
